2022-04-22 14:15:16,920 INFO 4559 [egg-logview] mount log /Users/xiongcheng/azure/MyBizIntouch/Intouch-Coach-App/logs at http://127.0.0.1:7001/__logs
2022-04-22 14:25:19,385 INFO 4559 [-/192.168.0.104/-/5ms GET /diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085] [access] 192.168.0.104: - GET /diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 HTTP/200 1943 - 4 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:25:19,931 INFO 4559 [-/192.168.0.104/-/177ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 172 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:25:20,199 INFO 4559 [-/192.168.0.104/-/156ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 141 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:28:42,441 INFO 4559 [-/192.168.0.104/-/12ms GET /prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true] [access] 192.168.0.104: - GET /prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true HTTP/200 1943 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 5 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:28:43,514 INFO 4559 [-/192.168.0.104/-/609ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true 607 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:28:43,788 INFO 4559 [-/192.168.0.104/-/273ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true 271 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:29:06,502 INFO 4559 [-/192.168.0.104/-/6ms GET /prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true] [access] 192.168.0.104: - GET /prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true HTTP/200 1943 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 4 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:29:07,380 INFO 4559 [-/192.168.0.104/-/411ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true 408 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:29:07,722 INFO 4559 [-/192.168.0.104/-/338ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/prep_unit?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=50&targetContactId=20016466979&isSelf=true 336 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:30:29,802 INFO 4559 [-/192.168.0.104/-/219ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 218 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
